                       UTC	     Lon	     Lat	     TTT
Mar 10 2004  3:00:00:000AM	     2.0	   -49.4	     3.1	
Mar 10 2004  6:00:00:000AM	     2.0	   -49.3	     2.9	
Mar 10 2004  9:00:00:000AM	     2.1	   -49.2	     3.4	
Mar 10 2004 12:00:00:000PM	     2.2	   -49.2	     3.9	
Mar 10 2004  3:00:00:000PM	     2.4	   -49.1	     4.4	
Mar 10 2004  6:00:00:000PM	     2.5	   -49.0	     4.9	
Mar 10 2004  9:00:00:000PM	     2.5	   -49.1	     4.7	
Mar 11 2004 12:00:00:000AM	     2.2	   -49.2	     4.9	
Mar 11 2004  3:00:00:000AM	     2.5	   -49.3	     4.7	
Mar 11 2004  6:00:00:000AM	     2.2	   -49.2	     5.8	
Mar 11 2004  9:00:00:000AM	     2.3	   -49.2	     6.5	
Mar 11 2004 12:00:00:000PM	     2.3	   -49.2	     6.6	
Mar 11 2004  3:00:00:000PM	     2.5	   -49.5	     5.9	
Mar 11 2004  6:00:00:000PM	     2.4	   -49.4	     5.6	
Mar 11 2004  9:00:00:000PM	     2.4	   -49.4	     6.4	
Mar 12 2004 12:00:00:000AM	     2.4	   -49.4	     7.3	
Mar 12 2004  3:00:00:000AM	     2.3	   -49.4	     7.2	
Mar 12 2004  6:00:00:000AM	     2.3	   -49.5	     5.1	
Mar 12 2004  9:00:00:000AM	     2.3	   -49.5	     5.0	
Mar 12 2004 12:00:00:000PM	     2.3	   -49.6	     4.7	
Mar 12 2004  3:00:00:000PM	     2.3	   -49.6	     4.8	
Mar 12 2004  6:00:00:000PM	     2.4	   -49.5	     4.6	
Mar 12 2004  9:00:00:000PM	     2.1	   -49.5	     6.4	
Mar 13 2004 12:00:00:000AM	     2.0	   -49.4	     6.5	
Mar 13 2004  3:00:00:000AM	     2.2	   -49.4	     6.6	
Mar 13 2004  6:00:00:000AM	     2.2	   -49.4	     6.9	
Mar 13 2004  9:00:00:000AM	     2.3	   -49.5	     6.7	
Mar 13 2004 12:00:00:000PM	     2.4	   -49.6	     6.6	
Mar 13 2004  3:00:00:000PM	     2.5	   -49.8	     6.8	
Mar 13 2004  6:00:00:000PM	     2.6	   -49.9	     6.8	
Mar 13 2004  9:00:00:000PM	     2.5	   -49.8	     7.4	
Mar 14 2004 12:00:00:000AM	     2.2	   -49.5	     6.7	
Mar 14 2004  3:00:00:000AM	     2.0	   -49.4	     5.7	
Mar 14 2004  6:00:00:000AM	     2.0	   -49.4	     5.1	
Mar 14 2004  9:00:00:000AM	     2.0	   -49.3	     4.5	
Mar 14 2004 12:00:00:000PM	     2.0	   -49.3	     4.4	
Mar 14 2004  3:00:00:000PM	     2.0	   -49.3	     4.6	
Mar 14 2004  6:00:00:000PM	     2.1	   -49.4	     5.0	
Mar 14 2004  9:00:00:000PM	     2.0	   -49.4	     4.6	
Mar 15 2004 12:00:00:000AM	     1.6	   -49.4	     4.3	
Mar 15 2004  3:00:00:000AM	     1.9	   -49.3	     3.7	
Mar 15 2004  6:00:00:000AM	     2.5	   -49.3	     3.0	
Mar 15 2004  9:00:00:000AM	     2.2	   -49.1	     3.4	
Mar 15 2004 12:00:00:000PM	     1.8	   -49.1	     2.6	
Mar 15 2004  3:00:00:000PM	     1.8	   -48.9	     3.3	
Mar 15 2004  6:00:00:000PM	     2.3	   -49.0	     3.4	
Mar 15 2004  9:00:00:000PM	     2.1	   -49.1	     3.5	
Mar 16 2004 12:00:00:000AM	     2.2	   -49.1	     3.8	
Mar 16 2004  3:00:00:000AM	     2.2	   -49.1	     3.8	
Mar 16 2004  6:00:00:000AM	     2.2	   -49.1	     3.7	
Mar 16 2004  9:00:00:000AM	     2.2	   -49.1	     4.2	
Mar 16 2004 12:00:00:000PM	     2.3	   -49.1	     4.5	
Mar 16 2004  3:00:00:000PM	     2.3	   -49.1	     4.6	
Mar 16 2004  6:00:00:000PM	     2.4	   -49.2	     4.5	
Mar 16 2004  9:00:00:000PM	     2.4	   -49.2	     4.9	
Mar 17 2004 12:00:00:000AM	     2.3	   -49.2	     4.9	
Mar 17 2004  3:00:00:000AM	     2.2	   -49.2	     5.1	
Mar 17 2004  6:00:00:000AM	     2.1	   -49.2	     5.4	
Mar 17 2004  9:00:00:000AM	     2.1	   -49.4	     5.4	
Mar 17 2004 12:00:00:000PM	     2.4	   -49.3	     5.4	
Mar 17 2004  3:00:00:000PM	     2.3	   -49.3	     5.5	
Mar 17 2004  6:00:00:000PM	     2.1	   -49.5	     5.7	
Mar 17 2004  9:00:00:000PM	     2.0	   -49.4	     5.7	
Mar 18 2004 12:00:00:000AM	     2.1	   -49.5	     5.7	
Mar 18 2004  3:00:00:000AM	     2.1	   -49.5	     5.5	
Mar 18 2004  6:00:00:000AM	     2.0	   -49.5	     4.5	
Mar 18 2004  9:00:00:000AM	     1.9	   -49.5	     3.8	
Mar 18 2004 12:00:00:000PM	     1.8	   -49.5	     3.1	
Mar 18 2004  3:00:00:000PM	     1.8	   -49.5	     2.8	
Mar 18 2004  6:00:00:000PM	     1.6	   -49.5	     1.4	
Mar 18 2004  9:00:00:000PM	     2.3	   -49.4	     2.0	
Mar 19 2004 12:00:00:000AM	     2.2	   -49.4	     0.6	
Mar 19 2004  3:00:00:000AM	     2.4	   -49.3	     1.8	
Mar 19 2004  6:00:00:000AM	     2.4	   -49.4	     1.9	
Mar 19 2004  9:00:00:000AM	     2.4	   -49.4	     1.2	
Mar 19 2004 12:00:00:000PM	     2.4	   -49.4	     2.6	
Mar 19 2004  3:00:00:000PM	     2.4	   -49.4	     1.1	
Mar 19 2004  6:00:00:000PM	     2.5	   -49.6	     1.6	
Mar 19 2004  9:00:00:000PM	     2.5	   -49.5	     2.3	
Mar 20 2004 12:00:00:000AM	     2.4	   -49.4	     2.0	
Mar 20 2004  3:00:00:000AM	     2.4	   -49.4	     1.6	
Mar 20 2004  6:00:00:000AM	     2.4	   -49.4	     3.2	
Mar 20 2004  9:00:00:000AM	     2.4	   -49.4	     4.0	
Mar 20 2004 12:00:00:000PM	     2.4	   -49.4	     4.2	
Mar 20 2004  3:00:00:000PM	     2.4	   -49.4	     4.6	
Mar 20 2004  6:00:00:000PM	     2.4	   -49.4	     2.3	
Mar 20 2004  9:00:00:000PM	     2.8	   -49.1	     2.6	
Mar 21 2004 12:00:00:000AM	     3.2	   -48.8	     3.0	
Mar 21 2004  3:00:00:000AM	     3.6	   -48.5	     3.2	
Mar 21 2004  6:00:00:000AM	     4.0	   -48.1	     3.4	
Mar 21 2004  9:00:00:000AM	     4.4	   -47.7	     4.0	
Mar 21 2004 12:00:00:000PM	     4.7	   -47.2	     4.5	
Mar 21 2004  3:00:00:000PM	     5.1	   -46.7	     4.3	
Mar 21 2004  6:00:00:000PM	     5.6	   -46.2	     5.1	
Mar 21 2004  9:00:00:000PM	     6.0	   -45.7	     5.9	
Mar 22 2004 12:00:00:000AM	     6.4	   -45.2	     6.0	
Mar 22 2004  3:00:00:000AM	     6.8	   -44.7	     7.3	
Mar 22 2004  6:00:00:000AM	     7.2	   -44.2	     7.5	
Mar 22 2004  9:00:00:000AM	     7.6	   -43.8	     8.0	
Mar 22 2004 12:00:00:000PM	     8.0	   -43.3	     8.5	
Mar 22 2004  3:00:00:000PM	     8.4	   -42.8	     9.0	
Mar 22 2004  6:00:00:000PM	     8.8	   -42.3	     9.6	
Mar 22 2004  9:00:00:000PM	     9.2	   -41.9	     9.6	
Mar 23 2004 12:00:00:000AM	     9.6	   -41.4	    10.1	
Mar 23 2004  3:00:00:000AM	    10.0	   -40.9	     9.5	
Mar 23 2004  6:00:00:000AM	    10.5	   -40.4	     9.8	
Mar 23 2004  9:00:00:000AM	    11.0	   -40.1	    10.8	
Mar 23 2004 12:00:00:000PM	    11.5	   -39.7	    13.2	
Mar 23 2004  3:00:00:000PM	    12.0	   -39.2	    15.1	
Mar 23 2004  6:00:00:000PM	    12.4	   -38.8	    15.5	
Mar 23 2004  9:00:00:000PM	    12.9	   -38.4	    16.2	
Mar 24 2004 12:00:00:000AM	    13.4	   -38.0	    16.5	
Mar 24 2004  3:00:00:000AM	    13.9	   -37.5	    17.0	
Mar 24 2004  6:00:00:000AM	    14.4	   -37.1	    17.4	
Mar 24 2004  9:00:00:000AM	    14.7	   -36.9	    17.7	
Mar 24 2004 12:00:00:000PM	    15.2	   -36.5	    18.2	
Mar 24 2004  3:00:00:000PM	    15.7	   -36.0	    18.6	
Mar 24 2004  6:00:00:000PM	    16.2	   -35.6	    18.1	
Mar 24 2004  9:00:00:000PM	    16.7	   -35.2	    18.2	
Mar 25 2004 12:00:00:000AM	    17.3	   -34.7	    18.1	
Mar 25 2004  3:00:00:000AM	    17.9	   -34.2	    18.0	
